article name,year published,Author,Journal name
Using A Google Web Search Analysis to Assess the Utility of ChatGPT in Stem Cell Therapy,2024,"L Chen, H Li, Y Su, Z Yang, Z He… - Stem Cells …, 2024",academic.oup.com
The Game-Changing Impact of AI Chatbots on Education ChatGPT and Beyond,2024,"A Vasudevan, AV Lama, ZH Sain - Journal of Information Systems …, 2024",journal.aira.or.id
[HTML][HTML] A rapid review on current and potential uses of large language models in nursing,2024,"M Hobensack, H Von Gerich, P Vyas, J Withall… - International Journal of …, 2024",Elsevier
"Artificial intelligence (AI) and ChatGPT involvement in scientific and medical writing, a new concern for researchers. A scoping review",2024,"AA Khalifa, MA Ibrahim - Arab Gulf Journal of Scientific Research, 2024",emerald.com
Evaluating ChatGPT performance in Arabic dialects: A comparative study showing defects in responding to Jordanian and Tunisian general health prompts,2024,"M Sallam, D Mousa - Mesopotamian Journal of …, 2024",journals.mesopotamian.press
Empirical Study of Large Language Models as Automated Essay Scoring Tools in English Composition_Taking TOEFL Independent Writing Task for Example,2024,"W Xia, S Mao, C Zheng - arXiv preprint arXiv:2401.03401, 2024",arxiv.org
ChatGPT as a Diagnostic Aid in Alzheimer's Disease: An Exploratory Study,2024,"M El Haj, C Boutoleau-Bretonnière… - Journal of …, 2024",content.iospress.com
Review of possible application of artificial intelligence in magnetic-abrasive machining research,2024,"M Marczak, R Nowicki, M Lato - AIP Conference Proceedings, 2024",pubs.aip.org
Microsoft Bing outperforms five other generative artificial intelligence chatbots in the Antwerp University multiple choice medical license exam,2024,"S Morreel, V Verhoeven, D Mathysen - PLOS Digital Health, 2024",journals.plos.org
AI emerges as the frontier in behavioral science,2024,"J Meng - Proceedings of the National Academy of Sciences, 2024",National Acad Sciences
Doing Research with Help from ChatGPT: Promising Examples for Coding and Inter-Rater Reliability.,2024,"H Theelen, J Vreuls, J Rutten - International Journal of Technology in …, 2024",ERIC
Harnessing the potential of large language models in medical education: promise and pitfalls,2024,"TM Benítez, Y Xu, JD Boudreau… - Journal of the …, 2024",academic.oup.com
Students' appraisals post-ChatGPT use: Students' narrative after using ChatGPT for writing,2024,"A Nugroho, E Andriyanti, P Widodo… - … in Education and …, 2024",Taylor & Francis
Evaluating the Translation of Figurative Language: A Comparative Study of ChatGPT and Human Translators,2024,"Y Sahari, F Qasem, E Asiri, I Alasmri, A Assiri, H Mahdi - 2024",researchsquare.com
"ChatGPT: Forensic, legal, and ethical issues",2024,"A Guleria, K Krishan, V Sharma… - Medicine, Science and …, 2024",journals.sagepub.com
Performance of ChatGPT incorporated chain-of-thought method in bilingual nuclear medicine physician board examinations,2024,"YT Ting, TC Hsieh, YF Wang, YC Kuo… - Digital …, 2024",journals.sagepub.com
An investigation study on the interpretation of ultrasonic medical reports using OpenAI's GPT‐3.5‐turbo model,2024,"W Wang, S Wang, JY Huang, X Liu… - Journal of Clinical …, 2024",Wiley Online Library
Authorship and ChatGPT: a Conservative View,2024,"R van Woudenberg, C Ranalli, D Bracker - Philosophy & Technology, 2024",Springer
Development of a personalized chat model based on the European Association of Urology oncology guidelines: harnessing the power of generative artificial …,2024,"ZE Khene, P Bigot, R Mathieu… - European …, 2024",euoncology.europeanurology.com
[PDF][PDF] Exploring the Use of ChatGPT for Resolving Programming Bugs,2024,"DYBM Hussaini Dan'azumi, M Saidu - Int. J. Adv. Multidiscip. Res, 2024",researchgate.net
"Would Uro_Chat, a Newly Developed Generative Artificial Intelligence Large Language Model, Have Successfully Passed the In-Service Assessment Questions of the …",2024,"M May, K Körner-Riffard… - European …, 2024",euoncology.europeanurology.com
Can ChatGPT outperform a neurosurgical trainee? A prospective comparative study,2024,"SC Williams, J Starup-Hansen, JP Funnell… - British Journal of …, 2024",Taylor & Francis
A bibliometric analysis of research on ChatGPT in education,2024,"H Polat, A Topuz, M Yıldız… - … of Technology in …, 2024",avesis.atauni.edu.tr
[PDF][PDF] Exploring the Use of GPT-4 in Co-creating Personalized Case Scenarios for Higher Education.,2024,"P Flores, G Rong - Education, 2024",helda.helsinki.fi
[PDF][PDF] An Investigation of the Effects of Using ChatGPT on Vocabulary Acquisition in Chinese-as-a-Foreign-Language High School Classes in the USA J Contemp …,2024,"LC Chen Wang, X Liu - 2024",cmjpublishers.com
[HTML][HTML] A large language model's assessment of methodology reporting in head and neck surgery,2024,"R Dang, C Hanba - American Journal of Otolaryngology, 2024",Elsevier
"ChatGPT: It's Here, Whether We Want It or Not!",2024,"S Wayne Litvin, K Pei-Sze Tan - Cornell Hospitality Quarterly, 2024",journals.sagepub.com
[HTML][HTML] ChatGPT is not ready yet for use in providing mental health assessment and interventions,2024,"I Dergaa, F Fekih-Romdhane, S Hallit, AA Loch… - Frontiers in …, 2024",frontiersin.org
Digital resurrection of historical figures: A case study on Mary Sibley through customized ChatGPT,2024,"J Hutson, P Huffman, J Ratican - Metaverse, 2024",digitalcommons.lindenwood.edu
[HTML][HTML] A scoping review of ChatGPT's role in healthcare education and research,2024,"S Shorey, CNZ Mattar, TLB Pereira, M Choolani - Nurse Education Today, 2024",Elsevier
"[HTML][HTML] Empowering ChatGPT with guidance mechanism in blended learning: effect of self-regulated learning, higher-order thinking skills, and knowledge …",2024,"HY Lee, PH Chen, WS Wang… - International …, 2024",educationaltechnologyjournal …
An early or somewhat late ChatGPT guide for librarians,2024,"B Hall, J McKee - Journal of Business & Finance Librarianship, 2024",Taylor & Francis
Awareness of Artificial Intelligence as an Essential Digital Literacy: ChatGPT and Gen-AI in the Classroom,2024,"SM Bender - Changing English, 2024",Taylor & Francis
Evaluation of accuracy and potential harm of ChatGPT in medical nutrition therapy-a case-based approach,2024,"V Mishra, F Jafri, N Abdul Kareem… - …, 2024",f1000research.com
A Review of Using Chatgpt for Scientific Manuscript Writing,2024,"AA Nafea, MM AL-Ani… - … Journal of Artificial …, 2024",journals.mesopotamian.press
Chatting and cheating: Ensuring academic integrity in the era of ChatGPT,2024,"DRE Cotton, PA Cotton, JR Shipway - Innovations in Education …, 2024",Taylor & Francis
"Can we spot fake public comments generated by ChatGPT (-3.5,-4)?: Japanese stylometric analysis expose emulation created by one-shot learning",2024,"W Zaitsu, M Jin, S Ishihara, S Tsuge, M Inaba - Plos one, 2024",journals.plos.org
Bibliographic research with ChatGPT may be misleading: the problem of hallucination,2024,"K Metze, RC Morandin-Reis, I Lorand-Metze… - Journal of Pediatric …, 2024",jpedsurg.org
A domain-specific next-generation large language model (LLM) or ChatGPT is required for biomedical engineering and research,2024,"S Pal, M Bhattacharya, SS Lee… - Annals of Biomedical …, 2024",Springer
"Quality, Accuracy, and Bias in ChatGPT-Based Summarization of Medical Abstracts",2024,"J Hake, M Crowley, A Coy, D Shanks… - The Annals of Family …, 2024",Annals Family Med
[HTML][HTML] ChatGPT Revisited: Using ChatGPT-4 for Finding References and Editing Language in Medical Scientific Articles,2024,"OM Alyasiri, AM Salman, S Salisu - Journal of Stomatology, Oral and …, 2024",Elsevier
Perspectives of University Educators Regarding ChatGPT: A Validation Study Based on the Technology Acceptance Model,2024,"M Barakat, NA Salim, M Sallam - 2024",researchsquare.com
Ask ChatGPT first! Transforming learning experiences in the age of artificial intelligence,2024,"L Gao, ME López-Pérez, I Melero-Polo… - Studies in Higher …, 2024",Taylor & Francis
Teaching in the Age of AI/ChatGPT in Mental-Health-Related Fields,2024,"A Rajaei - The Family Journal, 2024",journals.sagepub.com
ChatGPT-4: an assessment of an upgraded artificial intelligence chatbot in the United States Medical Licensing Examination,2024,"A Mihalache, RS Huang, MM Popovic, RH Muni - Medical Teacher, 2024",Taylor & Francis
Benefit–Risk Assessment of ChatGPT Applications in the Field of Diabetes and Metabolic Illnesses: A Qualitative Study,2024,"AA Jairoun, SS Al-Hemyari… - Clinical Medicine …, 2024",journals.sagepub.com
Exploring User Adoption of ChatGPT: A Technology Acceptance Model Perspective,2024,"J Ma, P Wang, B Li, T Wang, XS Pang… - International Journal of …, 2024",Taylor & Francis
ChatGPT Hallucinates Non-existent Citations: Evidence from Economics,2024,"J Buchanan, S Hill, O Shapoval - The American Economist, 2024",journals.sagepub.com
"Public Attitudes Toward ChatGPT on Twitter: Sentiments, Topics, and Occupations",2024,"R Koonchanok, Y Pan, H Jang - 2024",researchsquare.com
ChatGPT Yields a Passing Score on a Pediatric Board Preparatory Exam but Raises Red Flags,2024,"M Le, M Davis - Global Pediatric Health, 2024",journals.sagepub.com
A machine that still doesn't quite understand us: Putting ChatGPT to the test,2024,"CA Ankerstein - English Today, 2024",cambridge.org
Using ChatGPT to promote research competency: English as a Foreign Language undergraduates' perceptions and practices across varied metacognitive awareness …,2024,"SM Abdelhalim - Journal of Computer Assisted Learning, 2024",Wiley Online Library
Performance of ChatGPT on the National Korean Occupational Therapy Licensing Examination,2024,"SA Lee, S Heo, JH Park - Digital health, 2024",journals.sagepub.com
Evaluation of information provided to patients by ChatGPT about chronic diseases in Spanish language,2024,"MJ Soto-Chávez, MM Bustos… - Digital …, 2024",journals.sagepub.com
A Comparative Genre Analysis of Ai-Generated and Scholar-Written Abstracts for English Review Articles in International Journals,2024,"X Kong, C Liu - Available at SSRN 4778419",papers.ssrn.com
The influence of ChatGPT on thinking skills and creativity of EFL student teachers: a narrative inquiry,2024,"G Kartal - Journal of Education for Teaching, 2024",Taylor & Francis
EXPLORING THE POTENTIAL AND LIMITATIONS OF CHATGPT IN ACADEMIC WRITING AND EDITORIAL TASKS,2024,"A AKPUR - Fırat Üniversitesi Sosyal Bilimler Dergisi, 2024",dergipark.org.tr
"Aladdin's Genie or Pandora's Box for early childhood education? Experts chat on the roles, challenges, and developments of ChatGPT",2024,"W Luo, H He, J Liu, IR Berson, MJ Berson… - Early Education and …, 2024",Taylor & Francis
The imitation game: Detecting human and AI-generated texts in the era of ChatGPT and BARD,2024,"K Hayawi, S Shahriar… - Journal of Information …, 2024",journals.sagepub.com
"[PDF][PDF] Risks of abuse of large language models, like ChatGPT, in scientific publishing: Authorship, predatory publishing, and paper mills",2024,"G Kendall, JAT da Silva - Learned Publishing, 2024 - graham",kendall.com
Can ChatGPT assist authors with abstract writing in medical journals? Evaluating the quality of scientific abstracts generated by ChatGPT and original abstracts,2024,"T Hwang, N Aggarwal, PZ Khan, T Roberts… - Plos one, 2024",journals.plos.org
The utilization of chatGPT in reshaping future medical education and learning perspectives: A curse or a blessing?,2024,"T Breeding, B Martinez, H Patel… - The American …, 2024",journals.sagepub.com
Patients with floaters: Answers from virtual assistants and large language models,2024,"G Wu, W Zhao, A Wong, DA Lee - Digital Health, 2024",journals.sagepub.com
Exploring the proficiency of ChatGPT-4: An evaluation of its performance in the Taiwan advanced medical licensing examination,2024,"SY Lin, PK Chan, WH Hsu, CH Kao - Digital Health, 2024",journals.sagepub.com
Comparing ChatGPT With Experts' Responses to Scenarios that Assess Psychological Literacy,2024,"MA Machin, TM Machin… - Psychology Learning & …, 2024",journals.sagepub.com
"Dr. Google vs. Dr. ChatGPT: Exploring the Use of Artificial Intelligence in Ophthalmology by Comparing the Accuracy, Safety, and Readability of Responses to …",2024,"SA Cohen, A Brant, AC Fisher, S Pershing… - Seminars in …, 2024",Taylor & Francis
Sentiment analysis of internet posts on vaccination using ChatGPT and comparison with actual vaccination rates in South Korea,2024,"S Park - F1000Research, 2024",f1000research.com
Powerful tool or too powerful? Early public discourse about ChatGPT across 4 million tweets,2024,"R Ng, TYJ Chow - Plos one, 2024",journals.plos.org
Evaluation of Informative Content on Cerebral Palsy in the Era of Artificial Intelligence: The Value of ChatGPT,2024,"AM Ata, B Aras, Ö Yılmaz Taşdelen… - … Therapy In Pediatrics, 2024",Taylor & Francis
[HTML][HTML] Enhancing source code retrieval with joint Bi-LSTM-GNN architecture: A comparative study with ChatGPT-LLM,2024,"N Bibi, A Maqbool, T Rana - Journal of King Saud University-Computer and …, 2024",Elsevier
Linguistic markers of inherently false AI communication and intentionally false human communication: Evidence from hotel reviews,2024,"DM Markowitz, JT Hancock… - Journal of Language …, 2024",journals.sagepub.com
ChatGPT-powered chatbot as a green evangelist: an innovative path toward sustainable consumerism in E-commerce,2024,"MW Sadiq, MW Akhtar, C Huo… - The Service Industries …, 2024",Taylor & Francis
Evaluating the performance of ChatGPT and Perplexity AI in Business Reference,2024,"M Deike - Journal of Business & Finance Librarianship, 2024",Taylor & Francis
Examining the potential and pitfalls of chatgpt in science and engineering problem-solving,2024,"KD Wang, E Burkholder, C Wieman, S Salehi… - Frontiers in …, 2024",frontiersin.org
ChatGPT and Patients With Heart Failure,2024,"F Dimitriadis, S Alkagiet, L Tsigkriki, P Kleitsioti… - …, 2024",journals.sagepub.com
"Capacity for large language model chatbots to aid in orthopedic management, research, and patient queries",2024,"BR Sosa, M Cung, VJ Suhardi, K Morse… - Journal of …, 2024",Wiley Online Library
Reliability of ChatGPT for performing triage task in the emergency department using the Korean Triage and Acuity Scale,2024,"JH Kim, SK Kim, J Choi, Y Lee - Digital Health, 2024",journals.sagepub.com
Bibliographic research with ChatGPT may be misleading: the problem of hallucination,2024,"K Metze, RC Morandin-Reis, I Lorand-Metze… - Journal of Pediatric …, 2024",jpedsurg.org
A domain-specific next-generation large language model (LLM) or ChatGPT is required for biomedical engineering and research,2024,"S Pal, M Bhattacharya, SS Lee… - Annals of Biomedical …, 2024",Springer
"Quality, Accuracy, and Bias in ChatGPT-Based Summarization of Medical Abstracts",2024,"J Hake, M Crowley, A Coy, D Shanks… - The Annals of Family …, 2024",Annals Family Med
[HTML][HTML] ChatGPT Revisited: Using ChatGPT-4 for Finding References and Editing Language in Medical Scientific Articles,2024,"OM Alyasiri, AM Salman, S Salisu - Journal of Stomatology, Oral and …, 2024",Elsevier
[HTML][HTML] Assessing the research landscape and clinical utility of large language models: a scoping review,2024,"YJ Park, A Pillai, J Deng, E Guo… - BMC Medical …, 2024",bmcmedinformdecismak …
RAAMove: A Corpus for Analyzing Moves in Research Article Abstracts,2024,"H Li, R Wang, G Shi, X Lv, L Lei, C Feng, F Liu… - arXiv preprint arXiv …, 2024",arxiv.org
"Artificial intelligence (AI), conversational agents, and generative AI: implications for adult education practice and research",2024,"M Milana, U Brandi, S Hodge… - International Journal of …, 2024",Taylor & Francis
Indicators of AI in Automation: An Evaluation Using Intuitionistic Fuzzy DEMATEL Method with Special Reference to Chat GPT,2024,"M Pandey, R Litoriya, P Pandey - Wireless Personal Communications, 2024",Springer
AI ChatGPT Applications in Libraries-Challenges and Opportunities,2024,"MY ALİ - Bilgi Ve Belge Araştırmaları, 2024",dergipark.org.tr
Artificial intelligence large language model ChatGPT: is it a trustworthy and reliable source of information for sarcoma patients?,2024,"M Valentini, J Szkandera, M Smolle, S Scheipl… - Frontiers in Public …, 2024",frontiersin.org
The scholarly footprint of ChatGPT: a bibliometric analysis of the early outbreak phase,2024,"F Farhat, ES Silva, H Hassani, DØ Madsen… - Frontiers in Artificial …, 2024",frontiersin.org
Evolving landscape of large language models: an evaluation of ChatGPT and bard in answering patient queries on colonoscopy,2024,"R Tariq, S Malik, S Khanna - Gastroenterology, 2024",gastrojournal.org
Measuring the Effectiveness of AI Tools in Clinical Research and Writing: A Case Study in Healthcare,2024,"S Salisu, OM Alyasiri, HA Younis… - … Journal of Artificial …, 2024",mesopotamian.press
ChatGPT in anesthesiology practice–A friend or a foe,2024,"B Gupta, P Ahluwalia, A Gupta… - Saudi Journal of …, 2024",journals.lww.com
Back to the future: everything you wish you'd asked Derrida about ChatGPT when you had the chance!,2024,"E Pollard - Cultural Studies↔ Critical Methodologies, 2024",journals.sagepub.com
Generative artificial intelligence chatbots may provide appropriate informational responses to common vascular surgery questions by patients,2024,"E Chervonski, KB Harish, CB Rockman, M Sadek… - …, 2024",journals.sagepub.com
ChatGPT versus Bard: A comparative study,2024,"I Ahmed, M Kajol, U Hasan, PP Datta, A Roy… - Engineering …, 2024",Wiley Online Library
Exploring factors influencing user perspective of ChatGPT as a technology that assists in healthcare decision making: A cross sectional survey study,2024,"A Choudhury, S Elkefi, A Tounsi - Plos one, 2024",journals.plos.org
Measuring EFL learners' use of ChatGPT in informal digital learning of English based on the technology acceptance model,2024,"G Liu, C Ma - Innovation in Language Learning and Teaching, 2024",Taylor & Francis
Comparative Analysis of ChatGPT-4 and Google Gemini for Spam Detection on the SpamAssassin Public Mail Corpus,2024,"K Mardiansyah, W Surya - 2024",researchsquare.com
Towards Development of Automated Knowledge Maps and Databases for Materials Engineering using Large Language Models,2024,"D Prasad, M Pimpude, A Alankar - arXiv preprint arXiv:2402.11323, 2024",arxiv.org
Performance of ChatGPT on Stage 1 of the Taiwanese medical licensing exam,2024,"CH Huang, HJ Hsiao, PC Yeh, KC Wu… - Digital Health, 2024",journals.sagepub.com
A Survey of Clinicians' Views of the Utility of Large Language Models,2024,"M Spotnitz, B Idnay, ER Gordon, R Shyu… - Applied Clinical …, 2024 - thieme",connect.com
Identifying and Extracting Rare Diseases and Their Phenotypes with Large Language Models,2024,"C Shyr, Y Hu, L Bastarache, A Cheng, R Hamid… - Journal of Healthcare …, 2024",Springer
[HTML][HTML] Chatbot-generative pretrained transformer: Potential role in medical education and clinical settings,2024,"SA Meo - Advances in Biomedical and Health Sciences, 2024",journals.lww.com
Assessing ChatGPT's orthopedic in-service training exam performance and applicability in the field,2024,"N Jain, C Gottlich, J Fisher, D Campano… - Journal of Orthopaedic …, 2024",Springer
Assessing the Transformative Influence of ChatGPT on Research Practices among Scholars in Pakistan,2024,"N Arshad, MU Baber, A Ullah - … Journal of Big …, 2024",journals.mesopotamian.press
ChatGPT to generate clinical vignettes for teaching and multiple-choice questions for assessment: A randomized controlled experiment,2024,"Ö Coşkun, YS Kıyak, Iİ Budakoğlu - Medical teacher, 2024",Taylor & Francis
Posthuman creativity: Unveiling cyborg subjectivity through ChatGPT,2024,"D Yan - Qualitative Inquiry, 2024",journals.sagepub.com
English Education Students' Perception of the Use of ChatGPT in Writing Articles,2024,"U Hasanah, IA Nurcholis - Pubmedia Jurnal Pendidikan Bahasa …, 2024",edu.pubmedia.id
Exploring ChatGPT for next-generation information retrieval: Opportunities and challenges,2024,"Y Huang, JX Huang - Web Intelligence, 2024",content.iospress.com
Exploring the capabilities and limitations of chatgpt and alternative big language models,2024,"S AlZu'bi, A Mughaid, F Quiam… - Artificial Intelligence …, 2024",ojs.bonviewpress.com
[PDF][PDF] How ChatGPT Will Shape the Teaching Learning Landscape in Future?,2024,"R AlAli, Y Wardat - Journal of Educational and Social Research, 2024",researchgate.net
Exploring the role of an artificial intelligence chatbot on appendicitis management: an experimental study on ChatGPT,2024,"D Gracias, A Siu, I Seth, D Dooreemeah… - ANZ journal of …, 2024",Wiley Online Library
"How generative AI models such as ChatGPT can be (mis) used in SPC practice, education, and research? An exploratory study",2024,"FM Megahed, YJ Chen, JA Ferris, S Knoth… - Quality …, 2024",Taylor & Francis
SCOPE AND LIMITATIONS OF CHATGPT IN RESEARCH AND ACADEMIC WRITING,2024,"SP Singh, IA Khan, SK Mitra - Digital Journal of Clinical …, 2024",rescon.jssuni.edu.in
Exploring the opportunities and challenges of ChatGPT in academia,2024,"I Islam, MN Islam - Discover Education, 2024",Springer
Using ChatGPT and other forms of generative AI in systematic reviews: Comment,2024,"H Daungsupawong, V Wiwanitkit - Journal of Medical Imaging and …, 2024",jmirs.org
Transformative Effects of ChatGPT on the Modern Era of Education and Society: From Society's and Industry's Perspectives,2024,"AK Tyagi - Machine Learning Algorithms Using Scikit and …, 2024 - igi",global.com
[HTML][HTML] Beyond the Scalpel: Assessing ChatGPT's potential as an auxiliary intelligent virtual assistant in oral surgery,2024,"A Suárez, J Jiménez, ML de Pedro… - Computational and …, 2024",Elsevier
Investigating ChatGPT: A Threat or Benefit to Higher Education?,2024,"PB Mlambo - Futurity Education, 2024 - futurity",education.com
[HTML][HTML] The effects of artificial intelligence applications in educational settings: Challenges and strategies,2024,"O Ali, PA Murray, M Momin, YK Dwivedi… - … Forecasting and Social …, 2024",Elsevier
"ChatGPT Helped Me Build a Chemistry App, and Here's How You Can Make One Also",2024,"T Hasrod, YB Nuapia, H Tutu - 2024",ACS Publications
ChatGPT versus NASS clinical guidelines for degenerative spondylolisthesis: a comparative analysis,2024,"W Ahmed, M Saturno, R Rajjoub, AH Duey… - European Spine …, 2024",Springer
"Exploring the ethical, legal, and social implications of ChatGPT in urology",2024,"K Adhikari, N Naik, BMZ Hameed, SK Raghunath… - Current Urology …, 2024",Springer
Large Language Models and the Future of Organization Theory,2024,"J Cornelissen, MA Höllerer, E Boxenbaum… - Organization …, 2024",journals.sagepub.com
ChatGPT for Automated Cross‐Checking of Authors' Conflicts of Interest Against Industry Payments,2024,"C Safranek, C Liu, R Richmond, T Boyi… - … –Head and Neck …, 2024",Wiley Online Library
Using ChatGPT and other forms of generative AI in systematic reviews: Challenges and opportunities,2024,"MM Hossain - Journal of Medical Imaging and Radiation Sciences, 2024",jmirs.org
[HTML][HTML] Graduate instructors navigating the AI frontier: The role of ChatGPT in higher education,2024,"L Parker, C Carter, A Karakas, AJ Loper… - Computers and Education …, 2024",Elsevier
[HTML][HTML] Research writing with ChatGPT: A descriptive embodied practice framework,2024,"S Pigg - Computers and Composition, 2024",Elsevier
Artificial intelligence performance in clinical neurology queries: the ChatGPT model,2024,"E Altunisik, YE Firat, EK Cengiz… - Neurological …, 2024",Taylor & Francis
ChatGPT in medical writing: enhancing healthcare communication through artificial intelligence and human expertise,2024,"M İsmail, B KUZAN, TY KUZAN - Anatolian Current Medical Journal, 2024",dergipark.org.tr
Promoting self-regulation progress and knowledge construction in blended learning via ChatGPT-based learning aid,2024,"TT Wu, HY Lee, PH Li, CN Huang… - Journal of Educational …, 2024",journals.sagepub.com
Exploring the boundaries of authorship: a comparative analysis of AI-generated text and human academic writing in English literature,2024,"F Amirjalili, M Neysani, A Nikbakht - Frontiers in Education, 2024",frontiersin.org
"[PDF][PDF] An investigation on the characteristics, abilities, constraints, and functions of artificial intelligence (ai): The age of chatgpt as an essential",2023,"J Wiredu - Information and Management, 2023",researchgate.net
[PDF][PDF] Radiology gets chatty: the ChatGPT saga unfolds,2023,"H Grewal, G Dhillon, V Monga, P Sharma… - Cureus, 2023",cureus.com
“Dr ChatGPT”: Is it a reliable and useful source for common rheumatic diseases?,2023,"C Uz, E Umay - International Journal of Rheumatic Diseases, 2023",Wiley Online Library
Transparency in research: an analysis of ChatGPT usage acknowledgment by authors across disciplines and geographies,2023,"R Raman - Accountability in Research, 2023",Taylor & Francis
"Chatgpt for cybersecurity: practical applications, challenges, and future directions",2023,"M Al-Hawawreh, A Aljuhani, Y Jararweh - Cluster Computing, 2023",Springer
[HTML][HTML] Evaluation of the impact of large language learning models on articles submitted to Orthopaedics & Traumatology: Surgery & Research (OTSR): A significant …,2023,"G Maroteau, JS An, J Murgier, C Hulet, M Ollivier… - … & Traumatology: Surgery …, 2023",Elsevier
Feasibility and acceptability of ChatGPT generated radiology report summaries for cancer patients,2023,"EM Chung, SC Zhang, AT Nguyen, KM Atkins… - Digital …, 2023",journals.sagepub.com
Exploring the Early Adoption of Open AI among Laypeople and Technical Professionals: An Analysis of Twitter Conversations on# ChatGPT and# GPT3,2023,"W Zou, J Li, Y Yang, L Tang - International Journal of Human …, 2023",Taylor & Francis
[HTML][HTML] Harnessing the Power of Large Language Model-Based Chatbots for Scientific Discovery,2023,"KM Merz, GW Wei, F Zhu - Journal of Chemical Information and …, 2023",ACS Publications
What do academics have to say about ChatGPT? A text mining analytics on the discussions regarding ChatGPT on research writing,2023,"R Bringula - AI and Ethics, 2023",Springer
An explorative assessment of ChatGPT as an aid in medical education: Use it with caution,2023,"Z Han, F Battaglia, A Udaiyar, A Fooks… - Medical …, 2023",Taylor & Francis
